epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6467,1.86428,2.80652,1.59116,0.71733,0.28714,0.40529,0.16821,1.66314,2.8378,1.50674,0.000659794,0.000659794,0.000659794
2,25.563,1.76319,2.07625,1.51729,0.50414,0.21185,0.24186,0.1127,1.7828,2.83251,1.69201,0.0013002,0.0013002,0.0013002
3,36.6663,1.7662,1.93888,1.54385,0.56199,0.1994,0.25669,0.11852,1.76007,2.94127,1.59635,0.0019142,0.0019142,0.0019142
4,47.6363,1.76057,1.82319,1.54705,0.6069,0.53539,0.55818,0.25412,1.70643,1.73853,1.70032,0.0018812,0.0018812,0.0018812
5,59.2414,1.73737,1.70736,1.51978,0.69161,0.50648,0.5822,0.28074,1.64195,2.02274,1.56186,0.0018416,0.0018416,0.0018416
6,71.0369,1.70817,1.63198,1.5012,0.63354,0.45364,0.51904,0.24284,1.70285,1.82768,1.61809,0.001802,0.001802,0.001802
7,81.4945,1.69474,1.56022,1.48758,0.65546,0.55533,0.60243,0.28429,1.68075,1.7844,1.53043,0.0017624,0.0017624,0.0017624
8,91.8435,1.681,1.50317,1.4871,0.73922,0.65204,0.72808,0.35327,1.66523,1.41106,1.58001,0.0017228,0.0017228,0.0017228
9,103.204,1.66437,1.47029,1.48144,0.71888,0.6331,0.70111,0.34605,1.66861,1.39168,1.59118,0.0016832,0.0016832,0.0016832
10,114.314,1.6757,1.47919,1.46913,0.77313,0.69311,0.77684,0.36555,1.61763,1.45466,1.52052,0.0016436,0.0016436,0.0016436
11,125.501,1.64089,1.3681,1.44709,0.72943,0.62626,0.71455,0.36199,1.63007,1.35794,1.53305,0.001604,0.001604,0.001604
12,137.16,1.58995,1.34972,1.42233,0.76611,0.68694,0.78024,0.39978,1.60081,1.28813,1.48892,0.0015644,0.0015644,0.0015644
13,148.869,1.60122,1.36504,1.43302,0.75874,0.70551,0.78224,0.41049,1.56138,1.27277,1.48769,0.0015248,0.0015248,0.0015248
14,160.552,1.56604,1.28207,1.41367,0.7247,0.70987,0.77539,0.39008,1.61241,1.3779,1.51231,0.0014852,0.0014852,0.0014852
15,172.076,1.56923,1.27284,1.40907,0.72742,0.65718,0.73398,0.38079,1.60152,1.38825,1.49599,0.0014456,0.0014456,0.0014456
16,183.6,1.54536,1.26204,1.39766,0.77647,0.67881,0.78135,0.39036,1.63578,1.24758,1.52555,0.001406,0.001406,0.001406
17,195.32,1.54778,1.23378,1.40097,0.83735,0.72183,0.80821,0.42479,1.59339,1.17771,1.49331,0.0013664,0.0013664,0.0013664
18,206.986,1.54628,1.19034,1.39825,0.8389,0.68013,0.80895,0.43473,1.56666,1.16407,1.48878,0.0013268,0.0013268,0.0013268
19,218.551,1.53582,1.19659,1.38397,0.77982,0.68151,0.76218,0.39517,1.5813,1.24202,1.46508,0.0012872,0.0012872,0.0012872
20,229.839,1.51629,1.15796,1.37662,0.80784,0.74608,0.82312,0.41935,1.61776,1.17105,1.53976,0.0012476,0.0012476,0.0012476
21,241.23,1.50889,1.13819,1.36434,0.82528,0.72522,0.83062,0.44428,1.56712,1.08092,1.47859,0.001208,0.001208,0.001208
22,252.462,1.50467,1.13093,1.36579,0.83566,0.72881,0.84246,0.44936,1.54519,1.07912,1.45224,0.0011684,0.0011684,0.0011684
23,263.545,1.48642,1.09149,1.34978,0.82042,0.71968,0.82415,0.42979,1.60508,1.08334,1.51287,0.0011288,0.0011288,0.0011288
24,275.454,1.51395,1.0961,1.35592,0.82005,0.7315,0.82256,0.41931,1.60594,1.10231,1.5058,0.0010892,0.0010892,0.0010892
25,286.89,1.46453,1.07599,1.33488,0.81811,0.76072,0.84541,0.45691,1.52364,1.02966,1.43994,0.0010496,0.0010496,0.0010496
